id,status,founded_at,closed_at,acquired_at,ipo_at,age,city,country,region,primary_industry,is_software,is_web,is_mobile,is_b2b,regulated,funding_total_usd,funding_stage,num_rounds,age_first_funding,age_last_funding,lead_investor_tier,has_vc_backing,num_founders,repeat_founder,accelerator,avg_investor_participation,revenue_bucket,growth_indicator
c:8351,closed,1999-12-01,2012-01-01,,,12.093150684931507,Bothell,USA,US-West,,1,1,0,,0,,roundA,0,,,Top,1,,,,4.0,,
c:10392,acquired,2006-02-02,,,,18.926027397260274,Boulder,USA,Other,,1,1,0,,0,,roundA,0,,,Other,1,,,,2.0,,
c:26128,acquired,2000-01-01,,,,25.019178082191782,San Mateo,USA,US-West,,1,1,0,,0,,roundA,0,,,Top,0,,,,2.0,,
c:2808,acquired,2005-09-01,,,,19.34794520547945,San Francisco,USA,US-West,,1,1,0,,0,,roundA,2,,,Top,0,,,,3.3333,,
c:10581,acquired,2008-01-01,,,,17.013698630136986,San Francisco,USA,US-West,,1,1,0,,0,,roundA,1,,,Top,0,,,,3.0,,
c:190214,acquired,2012-06-12,,,,12.564383561643835,Sunnyvale,USA,US-West,,1,1,0,,0,,roundA,0,,,Other,0,,,,1.0,,
c:1674,acquired,2006-01-01,,,,19.013698630136986,Tampa,USA,US-South,,1,1,0,,0,,roundA,0,,,Top,0,,,,1.5,,
c:170,acquired,2003-01-01,2001-02-01,,,-1.915068493150685,San Francisco,USA,US-West,,1,1,0,,0,,roundA,4,,,Top,0,,,,1.6667,,
c:27740,closed,2007-01-01,2008-07-14,,,1.5342465753424657,Dallas,USA,US-South,,1,1,0,,0,,roundA,1,,,Top,0,,,,1.0,,
c:46186,closed,2003-01-01,2008-02-07,,,5.104109589041096,Fremont,USA,US-West,,1,1,0,,0,,roundB,1,,,Top,1,,,,4.0,,
c:43162,closed,1998-01-01,2011-01-01,,,13.008219178082191,Santa Clara,USA,US-West,,1,1,0,,0,,roundA,0,,,Top,1,,,,1.0,,
c:43233,acquired,2010-03-01,,,,14.849315068493151,San Francisco,USA,US-West,,1,1,0,,0,,roundA,2,,,Top,0,,,,4.0,,
c:1498,acquired,2006-01-01,,,,19.013698630136986,New York,USA,US-East,,1,1,0,,0,,roundA,3,,,Top,0,,,,2.6667,,
c:31514,closed,2008-08-01,2013-05-01,,,4.750684931506849,Cambridge,USA,US-East,,1,1,0,,0,,roundA,0,,,Top,1,,,,1.0,,
c:58944,acquired,2010-09-09,,,,14.323287671232876,San Francisco,USA,US-West,,1,1,0,,0,,roundA,2,,,Top,0,,,,2.25,,
c:40197,closed,2008-01-01,2012-08-24,,,4.64931506849315,Princeton,USA,US-East,,1,1,0,,0,,roundA,1,,,Top,0,,,,6.0,,
c:51023,closed,2007-01-01,2012-11-01,,,5.838356164383562,Loveland,USA,Other,,1,1,0,,0,,roundA,0,,,Top,1,,,,2.5,,
c:13168,acquired,2002-01-01,,,,23.016438356164382,Mountain View,USA,US-West,,1,1,0,,0,,roundA,2,,,Top,0,,,,2.5,,
c:649,acquired,2004-09-01,,,,20.34794520547945,New York,USA,US-East,,1,1,0,,0,,roundC,1,,,Top,0,,,,4.0,,
c:52694,closed,2000-01-01,2009-05-23,,,9.397260273972602,Kearneysville,USA,Other,,1,1,0,,0,,roundA,1,,,Other,0,,,,3.0,,
c:3080,acquired,2006-04-01,,,,18.767123287671232,Los Angeles,USA,US-West,,1,1,0,,0,,roundA,1,,,Top,0,,,,1.0,,
c:28424,closed,2001-01-01,2013-05-01,,,12.336986301369864,Canton,USA,Other,,1,1,0,,0,,roundB,1,,,Top,1,,,,3.6667,,
c:280611,closed,2013-01-01,2005-01-01,,,-8.005479452054795,Mountain View,USA,US-West,,1,1,0,,0,,roundA,0,,,Top,1,,,,9.0,,
c:30537,acquired,2003-01-01,,,,22.016438356164382,Bellevue,USA,US-West,,1,1,0,,0,,roundB,2,,,Top,0,,,,4.5,,
c:14656,acquired,2002-01-01,,,,23.016438356164382,Santa Clara,USA,US-West,,1,1,0,,0,,roundB,1,,,Top,1,,,,4.0,,
c:1766,closed,2005-05-01,2010-05-04,,,5.010958904109589,Washington,USA,Other,,1,1,0,,0,,roundB,2,,,Top,1,,,,3.5,,
c:16938,acquired,2007-01-01,,,,18.013698630136986,San Francisco,USA,US-West,,1,1,0,,0,,roundA,0,,,Top,0,,,,5.0,,
c:83265,acquired,2010-12-21,,,,14.04109589041096,San Francisco,USA,US-West,,1,1,0,,0,,roundA,1,,,Top,0,,,,7.0,,
c:23136,acquired,2006-01-01,,,,19.013698630136986,New York,USA,US-East,,1,1,0,,0,,roundA,4,,,Top,0,,,,4.0,,
c:54066,closed,2002-01-01,2010-08-31,,,8.668493150684931,Mountain View,USA,US-West,,1,1,0,,0,,roundB,1,,,Top,0,,,,3.0,,
c:17219,acquired,2006-01-01,,,,19.013698630136986,Chicago,USA,Other,,1,1,0,,0,,roundA,1,,,Top,1,,,,2.0,,
c:23234,closed,2007-01-01,2012-02-11,,,5.115068493150685,Somerset,USA,US-East,,1,1,0,,0,,roundA,0,,,Top,1,,,,3.0,,
c:70586,acquired,2008-01-01,,,,17.013698630136986,San Francisco,USA,US-West,,1,1,0,,0,,roundA,0,,,Top,0,,,,3.0,,
c:26612,closed,2007-01-01,2013-04-10,,,6.276712328767124,Berkeley,USA,US-West,,1,1,0,,0,,roundC,1,,,Top,1,,,,2.6667,,
c:57923,closed,1985-01-01,2009-05-03,,,24.350684931506848,Alpharetta,USA,US-South,,1,1,0,,0,,roundB,1,,,Top,0,,,,7.0,,
c:58133,acquired,2000-01-01,,,,25.019178082191782,Seattle,USA,US-West,,1,1,0,,0,,roundD,1,,,Top,0,,,,4.0,,
c:5587,acquired,2005-01-01,,,,20.013698630136986,Bellevue,USA,US-West,,1,1,0,,0,,roundA,2,,,Top,1,,,,2.3333,,
c:38338,acquired,2004-01-01,,,,21.016438356164382,San Jose,USA,US-West,,1,1,0,,0,,roundB,3,,,Top,1,,,,3.0,,
c:4622,acquired,2007-07-01,2011-09-01,,,4.1726027397260275,San Francisco,USA,US-West,,1,1,0,,0,,roundA,1,,,Top,0,,,,4.0,,
c:202,closed,2006-06-01,2012-08-01,,,6.1726027397260275,Charlottesville,USA,Other,,1,1,0,,0,,roundA,2,,,Other,0,,,,1.0,,
c:15652,acquired,2000-01-01,,,,25.019178082191782,Dulles,USA,Other,,1,1,0,,0,,roundC,1,,,Top,1,,,,2.0,,
c:144825,closed,2011-08-01,2013-08-01,,,2.0027397260273974,Chicago,USA,Other,,1,1,0,,0,,roundA,0,,,Other,0,,,,1.0,,
c:9772,acquired,2007-01-01,,,,18.013698630136986,San Francisco,USA,US-West,,1,1,0,,0,,roundA,0,,,Top,0,,,,7.0,,
c:19101,closed,2006-01-01,2012-01-01,,,6.002739726027397,Bloomfield,USA,Other,,1,1,0,,0,,roundA,2,,,Top,0,,,,2.0,,
c:1612,acquired,2007-01-15,,,,17.975342465753425,Santa Monica,USA,US-West,,1,1,0,,0,,roundA,1,,,Top,0,,,,4.0,,
c:17620,acquired,2003-01-01,,,,22.016438356164382,Santa Clara,USA,US-West,,1,1,0,,0,,roundA,2,,,Top,0,,,,2.5,,
c:43873,closed,2003-01-01,2012-07-07,,,9.520547945205479,Milpitas,USA,US-West,,1,1,0,,0,,roundC,1,,,Other,0,,,,1.0,,
c:3986,acquired,2006-01-01,,,,19.013698630136986,Menlo Park,USA,US-West,,1,1,0,,0,,roundB,1,,,Top,0,,,,4.0,,
c:61592,closed,2010-10-01,2013-08-08,,,2.8547945205479452,San Diego,USA,US-West,,1,1,0,,0,,roundA,0,,,Top,1,,,,4.0,,
c:35236,acquired,2009-09-09,,,,15.323287671232876,San Francisco,USA,US-West,,1,1,0,,0,,roundA,1,,,Top,0,,,,3.5,,
c:31968,closed,1997-01-01,2012-08-03,,,15.597260273972603,Burlingame,USA,US-West,,1,1,0,,0,,roundA,0,,,Other,0,,,,1.0,,
c:27620,acquired,2003-01-01,,,,22.016438356164382,Raleigh,USA,Other,,1,1,0,,0,,roundB,2,,,Top,1,,,,3.6667,,
c:9816,acquired,2005-06-01,,,,19.6,New York,USA,US-East,,1,1,0,,0,,roundA,1,,,Other,0,,,,1.0,,
c:52566,acquired,2010-02-01,,,,14.926027397260274,New York,USA,US-East,,1,1,0,,0,,roundA,0,,,Other,0,,,,6.0,,
c:49236,closed,2009-08-01,2012-01-01,,,2.419178082191781,Somerville,USA,US-East,,1,1,0,,0,,roundA,0,,,Top,0,,,,1.0,,
c:2234,acquired,2006-01-01,,,,19.013698630136986,Redwood City,USA,US-West,,1,1,0,,0,,roundA,2,,,Top,0,,,,2.5,,
c:3505,closed,2009-10-01,2013-06-01,,,3.6684931506849314,Austin,USA,US-South,,1,1,0,,0,,roundA,1,,,Top,0,,,,1.0,,
c:56989,acquired,2009-10-01,,,,15.263013698630138,New York,USA,US-East,,1,1,0,,0,,roundA,1,,,Top,1,,,,6.3333,,
c:28482,acquired,2008-01-01,,,,17.013698630136986,Fremont,USA,US-West,,1,1,0,,0,,roundA,3,,,Top,1,,,,2.25,,
c:40324,acquired,2006-01-01,,,,19.013698630136986,Waltham,USA,US-East,,1,1,0,,0,,roundA,3,,,Top,0,,,,4.6667,,
c:1595,acquired,2000-01-01,,,,25.019178082191782,Timonium,USA,Other,,1,1,0,,0,,roundA,1,,,Top,1,,,,2.5,,
c:31294,closed,2009-01-04,2013-06-01,,,4.4082191780821915,Pittsburgh,USA,Other,,1,1,0,,0,,roundA,0,,,Top,1,,,,1.0,,
c:43875,closed,2003-01-01,2008-05-01,,,5.3342465753424655,Reston,USA,Other,,1,1,0,,0,,roundB,1,,,Top,1,,,,3.0,,
c:16562,acquired,2004-01-01,,,,21.016438356164382,Fremont,USA,US-West,,1,1,0,,0,,roundB,1,,,Top,1,,,,3.5,,
c:18075,acquired,2000-01-01,,,,25.019178082191782,New York,USA,US-East,,1,1,0,,0,,roundA,0,,,Top,1,,,,5.0,,
c:86120,closed,2010-09-24,2012-04-03,,,1.526027397260274,Chicago,USA,Other,,1,1,0,,0,,roundA,0,,,Top,0,,,,1.0,,
c:12173,acquired,2006-10-01,,,,18.265753424657536,Santa Clara,USA,US-West,,1,1,0,,0,,roundA,3,,,Top,0,,,,2.0,,
c:44650,acquired,2000-01-01,,,,25.019178082191782,Palo Alto,USA,US-West,,1,1,0,,0,,roundA,0,,,Top,1,,,,7.0,,
c:70021,closed,2010-02-01,2012-01-01,,,1.915068493150685,Cincinnati,USA,Other,,1,1,0,,0,,roundA,0,,,Top,0,,,,3.0,,
c:17660,acquired,2001-01-01,,,,24.016438356164382,Atlanta,USA,US-South,,1,1,0,,0,,roundB,1,,,Top,1,,,,1.0,,
c:51745,closed,2007-01-01,2013-07-01,,,6.501369863013698,San Jose,USA,US-West,,1,1,0,,0,,roundA,0,,,Top,0,,,,1.0,,
c:25324,acquired,2004-01-01,,,,21.016438356164382,Cambridge,USA,US-East,,1,1,0,,0,,roundA,2,,,Top,0,,,,3.5,,
c:77,acquired,2006-11-01,,,,18.18082191780822,San Mateo,USA,US-West,,1,1,0,,0,,roundA,3,,,Top,1,,,,2.5,,
c:1895,closed,2005-01-01,2013-08-20,,,8.638356164383561,San Francisco,USA,US-West,,1,1,0,,0,,roundA,1,,,Other,0,,,,3.0,,
c:16593,acquired,2007-01-01,,,,18.013698630136986,Campbell,USA,US-West,,1,1,0,,0,,roundB,2,,,Top,1,,,,5.3333,,
c:16289,acquired,2005-01-01,,,,20.013698630136986,San Francisco,USA,US-West,,1,1,0,,0,,roundA,2,,,Top,0,,,,3.0,,
c:575,closed,2004-01-01,2009-03-20,,,5.219178082191781,New York,USA,US-East,,1,1,0,,0,,roundA,1,,,Other,0,,,,1.0,,
c:15562,acquired,2006-06-01,,,,18.6,Santa Clara,USA,US-West,,1,1,0,,0,,roundA,1,,,Top,0,,,,1.0,,
c:62432,acquired,2010-01-01,,,,15.01095890410959,Sterling,USA,Other,,1,1,0,,0,,roundA,2,,,Top,0,,,,2.0,,
c:8100,acquired,2007-01-01,,,,18.013698630136986,San Francisco,USA,US-West,,1,1,0,,0,,roundA,3,,,Top,0,,,,2.5,,
c:62262,acquired,2009-01-01,,,,16.01095890410959,San Francisco,USA,US-West,,1,1,0,,0,,roundA,1,,,Top,0,,,,3.0,,
c:3686,acquired,2002-01-01,,,,23.016438356164382,New York,USA,US-East,,1,1,0,,0,,roundB,1,,,Top,1,,,,4.0,,
c:82805,acquired,2010-04-01,,,,14.764383561643836,San Mateo,USA,US-West,,1,1,0,,0,,roundA,0,,,Top,1,,,,2.0,,
c:196,acquired,2002-01-01,,,,23.016438356164382,Foster City,USA,US-West,,1,1,0,,0,,roundA,2,,,Top,0,,,,4.0,,
c:28114,closed,2002-01-01,2010-09-20,,,8.723287671232876,Atlanta,USA,US-South,,1,1,0,,0,,roundA,1,,,Top,1,,,,1.0,,
c:13277,closed,2007-09-01,2010-11-22,,,3.2273972602739724,Los Angeles,USA,US-West,,1,1,0,,0,,roundA,1,,,Other,0,,,,1.0,,
c:63217,closed,2010-06-01,2013-05-01,,,2.9178082191780823,Oakland,USA,US-West,,1,1,0,,0,,roundA,0,,,Other,0,,,,1.0,,
c:2534,acquired,2005-01-01,,,,20.013698630136986,Fremont,USA,US-West,,1,1,0,,0,,roundA,2,,,Top,0,,,,2.5,,
c:5264,closed,2001-01-01,2012-10-01,,,11.756164383561643,Petaluma,USA,US-West,,1,1,0,,0,,roundB,3,,,Top,1,,,,5.2,,
c:58512,acquired,2010-01-01,,,,15.01095890410959,San Francisco,USA,US-West,,1,1,0,,0,,roundA,0,,,Top,0,,,,10.0,,
c:12957,acquired,2005-11-01,,,,19.18082191780822,Chicago,USA,Other,,1,1,0,,0,,roundA,1,,,Top,0,,,,1.0,,
c:34499,acquired,2007-06-04,,,,17.59178082191781,Boston,USA,US-East,,1,1,0,,0,,roundA,1,,,Top,0,,,,3.0,,
c:34028,closed,2008-01-01,2012-12-06,,,4.934246575342466,Sunnyvale,USA,US-West,,1,1,0,,0,,roundA,1,,,Other,0,,,,1.0,,
c:23335,closed,2009-04-17,2012-03-06,,,2.8876712328767122,Arlington,USA,Other,,1,1,0,,0,,roundA,0,,,Other,0,,,,1.0,,
c:30526,acquired,2002-01-01,,,,23.016438356164382,Seattle,USA,US-West,,1,1,0,,0,,roundB,1,,,Top,0,,,,3.0,,
c:42519,closed,2009-01-01,2013-03-01,,,4.164383561643835,Centennial,USA,Other,,1,1,0,,0,,roundA,1,,,Top,1,,,,2.0,,
c:48376,closed,2006-01-01,2013-06-01,,,7.419178082191781,Chicago,USA,Other,,1,1,0,,0,,roundB,1,,,Top,1,,,,4.0,,
c:15693,acquired,2004-01-01,,,,21.016438356164382,San Mateo,USA,US-West,,1,1,0,,0,,roundA,2,,,Top,1,,,,1.0,,
c:47587,closed,2008-01-01,2012-01-01,,,4.002739726027397,San Jose,USA,US-West,,1,1,0,,0,,roundA,2,,,Top,0,,,,2.5,,
c:1669,acquired,2006-01-01,,,,19.013698630136986,Austin,USA,US-South,,1,1,0,,0,,roundA,2,,,Top,0,,,,1.5,,
c:421,acquired,2009-01-01,,,,16.01095890410959,San Francisco,USA,US-West,,1,1,0,,0,,roundA,0,,,Top,1,,,,3.0,,
c:155621,closed,2012-01-29,2013-06-01,,,1.3397260273972602,Memphis,USA,Other,,1,1,0,,0,,roundA,0,,,Other,0,,,,1.0,,
c:40782,acquired,2009-07-01,,,,15.515068493150684,New York,USA,US-East,,1,1,0,,0,,roundA,0,,,Top,1,,,,3.0,,
c:51306,acquired,2008-01-01,,,,17.013698630136986,Burlingame,USA,US-West,,1,1,0,,0,,roundA,0,,,Top,1,,,,1.0,,
c:1088,acquired,2007-02-01,,,,17.92876712328767,New York,USA,US-East,,1,1,0,,0,,roundA,4,,,Top,1,,,,3.5,,
c:34522,closed,2008-01-01,2013-05-01,,,5.3342465753424655,New York,USA,US-East,,1,1,0,,0,,roundA,0,,,Top,1,,,,1.0,,
c:83692,acquired,2011-02-01,,,,13.926027397260274,Cambridge,USA,US-East,,1,1,0,,0,,roundA,1,,,Top,0,,,,6.0,,
c:43831,acquired,2005-01-01,,,,20.013698630136986,Plymouth,USA,Other,,1,1,0,,0,,roundB,2,,,Top,1,,,,3.0,,
c:28428,acquired,2005-08-01,,,,19.432876712328767,San Francisco,USA,US-West,,1,1,0,,0,,roundA,1,,,Top,1,,,,2.0,,
c:17974,closed,2007-07-01,2009-01-01,,,1.5068493150684932,Austin,USA,US-South,,1,1,0,,0,,roundA,1,,,Other,0,,,,1.0,,
c:81475,closed,2010-01-01,2013-07-01,,,3.4986301369863013,Seattle,USA,US-West,,1,1,0,,0,,roundA,0,,,Top,1,,,,1.0,,
c:76543,closed,2010-09-01,2013-06-01,,,2.750684931506849,San Francisco,USA,US-West,,1,1,0,,0,,roundA,1,,,Top,1,,,,1.0,,
c:84161,acquired,2010-01-01,,,,15.01095890410959,Conshohocken,USA,Other,,1,1,0,,0,,roundA,0,,,Other,1,,,,1.0,,
c:810,closed,2006-09-01,2012-02-02,,,5.424657534246576,Needham,USA,US-East,,1,1,0,,0,,roundA,3,,,Top,0,,,,2.5,,
c:16488,closed,2002-01-01,2012-10-01,,,10.756164383561643,Newport Beach,USA,US-West,,1,1,0,,0,,roundA,1,,,Top,1,,,,2.0,,
c:11042,acquired,2007-08-28,,,,17.35890410958904,Austin,USA,US-South,,1,1,0,,0,,roundA,2,,,Top,0,,,,6.0,,
c:17633,acquired,2002-01-01,,,,23.016438356164382,Longmont,USA,Other,,1,1,0,,0,,roundC,2,,,Top,1,,,,6.5,,
c:3187,acquired,2004-01-01,,,,21.016438356164382,Redwood City,USA,US-West,,1,1,0,,0,,roundA,2,,,Top,0,,,,2.0,,
